id,year,author,doi,title,journal,rater,include_final,no_reason,confirmed,type,prereg_link,notes
1074,2023,"Fürtjes, Anna E.; Cole, James H.; Couvy-Duchesne, Baptiste; Ritchie, Stuart J.",10.1016/j.cortex.2022.11.001,A quantified comparison of cortical atlases on the basis of trait morphometricity,Cortex,moin,yes,,yes,rr,https://osf.io/dkw9t/overview,
1087,2023,"McIntosh, Robert D.; Ten Brink, Antonia F.; Mitchell, Alexandra G.; Jones, Hannah; Peng, Nan; Thye, Melissa; Bultitude, Janet H.",10.1016/j.cortex.2022.11.003,A registered re-examination of the effects of leftward prism adaptation on landmark judgements in healthy people,Cortex,moin,no,replication,yes,replication,https://osf.io/dmqf9/overview,
1003,2020,"Declerck, Carolyn H.; Boone, Christophe; Pauwels, Loren; Vogt, Bodo; Fehr, Ernst",10.1038/s41562-020-0878-x,A registered replication study on oxytocin and trust,Nature Human Behaviour,moin,no,replication,yes,replication,https://doi.org/10.6084/m9.figshare.11980368,
1151,2020,"Clayson, Peter E.; Carbine, Kaylie A.; Larson, Michael J.",10.1016/j.ijpsycho.2020.01.005,A registered report of error-related negativity and reward positivity as biomarkers of depression: P-Curving the evidence,International Journal of Psychophysiology,moin,no,no stage 1,no,not_rr_after_all,NA,"manuscript indicates RR, but could not find Stage 1; meta-analysis"
1194,2022,"Henderson, Emma L.; Westwood, Samuel J.; Simons, Daniel J.",10.3758/s13423-021-01995-w,A reproducible systematic map of research on the illusory truth effect,Psychonomic Bulletin & Review,moin,yes,,yes,rr,https://osf.io/ar4hm/overview,
1216,2017,"Dutilh, Gilles; Vandekerckhove, Joachim; Ly, Alexander; Matzke, Dora; Pedroni, Andreas; Frey, Renato; Rieskamp, Jörg; Wagenmakers, Eric-Jan",10.3758/s13414-017-1304-y,A test of the diffusion model explanation for the worst performance rule using preregistration and blinding,"Attention, Perception, and Psychophysics",moin,yes,,yes,rr,https://osf.io/7bc4g/files/bkpre,
1189,2021,"Jones, Jonathan S.; The Calm Team; Astle, Duncan E.",10.1016/j.dcn.2021.101027,A transdiagnostic data-driven study of children’s behaviour and the functional connectome,Developmental Cognitive Neuroscience,moin,no,no stage 1,no,not_rr_after_all,NA,"manuscript refers to Stage 1, but could not find it anywhere, not even prereg"
1039,2022,"Potoczek, Anna; Bukowski, Marcin; Jasko, Katarzyna; Czepluch, Felix; Fritsche, Immo; Jugert, Philipp; Kossowska, Małgorzata",10.1016/j.jesp.2022.104352,Acting collectively against air pollution: When does control threat mobilize environmental activism? Registered report,Journal of Experimental Social Psychology,moin,no,no stage 1,no,not_rr_after_all,NA,"manuscript refers to Stage 1, but could not find it anywhere, only preregs"
1228,2024,"Duncan, Robert J.; Nordgren, Inga; Schmitt, Sara A.; Vandell, Deborah Lowe",10.1002/icd.2406,Additive and synergistic relations of early mother–child and caregiver–child interactions and socioeconomic outcomes in adulthood,Infant and Child Development,moin,yes,,yes,rr,https://osf.io/k9xad/overview,
1154,2021,"Horn, Sebastian S.; Freund, Alexandra M.",10.1080/02699931.2021.1986375,Adult age differences in remembering gain- and loss-related intentions,Cognition and Emotion,moin,yes,,yes,rr,https://osf.io/mv4y3/overview,
1158,2022,"Wirth, Maria; Voss, Andreas; Wirth, Stefan; Rothermund, Klaus",10.1080/02699931.2021.1993148,Affect dynamics and well-being: explanatory power of the model of intraindividual variability in affect (MIVA),Cognition and Emotion,moin,yes,,yes,rr,https://osf.io/rwfxg/files/rdh5b,not formally registered
1224,2023,"Ward, Emma V",10.1177/17470218221090128,Age and processing effects on perceptual and conceptual priming,Quarterly Journal of Experimental Psychology,moin,yes,,yes,rr,https://osf.io/anfby/overview,
1235,2023,"Pütter, J. Quevedo; Erdfelder, E",10.1027/1618-3169/a000569,Alcohol-Induced Retrograde Facilitation?,Experimental Psychology,moin,no,replication,yes,replication,https://osf.io/dk8fj/overview,
1104,2024,"Dora, Jonas; Kuczynski, Adam M.; Schultz, Megan E.; Acuff, Samuel F.; Murphy, James G.; King, Kevin M.",10.1037/adb0000984,An experimental investigation into the effect of negative affect on the behavioral economic demand for alcohol,Psychology of Addictive Behaviors,moin,yes,,yes,rr,https://osf.io/strbv/files/c39up,"Stage 1 not formally registered, but there is a briefer prereg"
1157,2023,"Wunderlich, Philipp; Nguyen, Christoph; von Scheve, Christian",10.1080/02699931.2022.2152430,"Angry populists or concerned citizens? How linguistic emotion ascriptions shape affective, cognitive, and behavioural responses to political outgroups",Cognition and Emotion,moin,yes,,yes,rr,https://osf.io/qujgr/overview,
1092,2020,"Nieuwland, Mante S.; Arkhipova, Yana; Rodríguez-Gómez, Pablo",10.1016/j.cortex.2020.09.007,"Anticipating words during spoken discourse comprehension: A large-scale, pre-registered replication study using brain potentials",Cortex,moin,no,replication,yes,replication,https://osf.io/tj4aw/overview,
1051,2022,"Li, Manyu",10.1016/j.jesp.2021.104278,Application of sentence-level text analysis: The role of emotion in an experimental learning intervention,Journal of Experimental Social Psychology,moin,yes,,yes,rr,https://osf.io/xtdc3/files/7sxfn,Stage 1 not formally registered
1057,2016,"Domachowska, Irena; Heitmann, Christina; Deutsch, Roland; Goschke, Thomas; Scherbaum, Stefan; Bolte, Annette",10.1016/j.jesp.2015.09.003,Approach-motivated positive affect reduces breadth of attention: Registered replication report of Gable and Harmon-Jones (2008),Journal of Experimental Social Psychology,moin,no,no stage 1,no,not_rr_after_all,NA,Prereg but not RR
1098,2022,"Fan, Lei; Tybur, Joshua M.; Jones, Benedict C.",10.1016/j.evolhumbehav.2022.08.007,Are people more averse to microbe-sharing contact with ethnic outgroup members? A registered report,Evolution and Human Behavior,moin,yes,,yes,rr,https://osf.io/6rgf4/overview,
1208,2018,"Grubb, Michael A.; Li, Yuxuan",10.3758/s13414-018-1494-y,Assessing the role of accuracy-based feedback in value-driven attentional capture,"Attention, Perception, and Psychophysics",moin,no,no stage 1,no,not_rr_after_all,NA,No link to any prereg or Stage 1
1080,2019,"Ching, April Shi Min; Kim, Jeesun; Davis, Chris",10.1016/j.cortex.2019.02.014,Auditory–visual integration during nonconscious perception,Cortex,moin,yes,,yes,rr,https://osf.io/sbntf/overview,
1192,2022,"Katzir, Maayan; Genschow, Oliver",10.1111/bjop.12578,Automatic or controlled: How does disbelief in free will influence cognitive functioning?,British Journal of Psychology,moin,no,no stage 1,no,not_rr_after_all,NA,Found prereg but no Stage 1
1085,2018,"Coltheart, Max; Cox, Rochelle; Sowman, Paul; Morgan, Hannah; Barnier, Amanda; Langdon, Robyn; Connaughton, Emily; Teichmann, Lina; Williams, Nikolas; Polito, Vince",10.1016/j.cortex.2018.01.001,"Belief, delusion, hypnosis, and the right dorsolateral prefrontal cortex: A transcranial magnetic stimulation study",Cortex,moin,no,no stage 1,no,not_rr_after_all,NA,No Stage 1 or prereg found
1167,2019,"Zgonnikov, Arkady; Atiya, Nadim A. A.; O’Hora, Denis; Rañò, Iñaki; Wong-Lin, KongFatt",10.1017/S1930297500006136,Beyond reach: Do symmetric changes in motor costs affect decision making? A registered report,Judgment and Decision Making,moin,yes,,yes,rr,https://osf.io/c3xgn/overview,
1137,2023,"Xiao, Leon Y.",10.1525/collabra.57641,Breaking Ban: Belgium’s Ineffective Gambling Law Regulation of Video Game Loot Boxes,Collabra,moin,yes,,yes,rr,https://osf.io/5mxp6/overview,
1170,2023,"Dalmaso, Mario; Castelli, Luigi; Bernardini, Chiara; Galfano, Giovanni",10.1016/j.concog.2023.103476,Can masked gaze and arrow stimuli elicit overt orienting of attention? A registered report,Consciousness and Cognition,moin,no,no stage 1,no,not_rr_after_all,NA,No Stage 1 or prereg found
1152,2021,"Leganes-Fonteneau, Mateo; Bates, Marsha E.; Muzumdar, Neel; Pawlak, Anthony; Islam, Shahriar; Vaschillo, Evgeny; Buckman, Jennifer F.",10.1016/j.ijpsycho.2021.09.003,Cardiovascular mechanisms of interoceptive awareness: Effects of resonance breathing,International Journal of Psychophysiology,moin,no,no stage 1,no,not_rr_after_all,NA,"No Stage 1 or prereg found, only an amendment"
1215,2020,"Goulet, Marc-André; Cousineau, Denis",10.3758/s13414-020-02008-z,Cognitive architecture and capacity of the cognitive system responsible for Same – Different judgments,"Attention, Perception, and Psychophysics",moin,no,no stage 1,no,not_rr_after_all,NA,"No Stage 1 or prereg found, only an amendment"
1135,2021,"Locke, Kenneth D; MacDonald, Geoff; Barni, Daniela; Reyes, Jose Alberto S; Morio, Hiroaki; Vargas-Flores, José de Jesús; Ibáñez-Reyes, Joselina; Mastor, Khairul A; Kamble, Shanmukh",10.1525/collabra.22165,Communal Motives Towards Parents and Perceived Self-Parent Agreement,Collabra,moin,yes,,yes,rr,https://osf.io/mtx68/overview,
1147,2021,"Mertens, Gaëtan; Bouwman, Vera; Engelhard, Iris M.",10.1016/j.ijpsycho.2021.09.007,Conceptual fear generalization gradients and their relationship with anxious traits: Results from a Registered Report,International Journal of Psychophysiology,moin,yes,,yes,rr,https://osf.io/preprints/psyarxiv/zwc2h_v1,Stage 1 not formally registered
1169,2020,"Frey, Renato",10.1017/S1930297500007415,Decisions from experience: Competitive search and choice in kind and wicked environments,Judgment and Decision Making,moin,yes,,yes,rr,https://osf.io/etuhq/overview,
1097,2023,"Tröndle, Marius; Popov, Tzvetan; Pedroni, Andreas; Pfeiffer, Christian; Barańczuk-Turska, Zofia; Langer, Nicolas",10.1016/j.cortex.2023.02.002,Decomposing age effects in EEG alpha power,Cortex,moin,yes,,yes,rr,https://osf.io/fb6pc/overview,
1041,2021,"Schindler, Simon; Reinhardt, Nina; Reinhard, Marc-André",10.1016/j.jesp.2020.104087,Defending one's worldview under mortality salience: Testing the validity of an established idea,Journal of Experimental Social Psychology,moin,no,no stage 1,no,not_rr_after_all,NA,Found prereg but no Stage 1
1203,2022,"Rambo-Hernandez, Karen E.; Makel, Matthew C.; Peters, Scott J.; Worley, Cristina",10.1111/bjep.12479,Differential return on investment: Academic growth in mathematics and reading based on initial performance,British Journal of Educational Psychology,moin,yes,,yes,rr,https://osf.io/9zmak/files/k36hs,Stage 1 not formally registered
1140,2021,"Kathawalla, Ummul-Kiram; Syed, Moin",10.1525/collabra.28248,"Discrimination, Life Stress, and Mental Health Among Muslims: A Preregistered Systematic Review and Meta-Analysis",Collabra,moin,no,meta-analysis,yes,rr,https://osf.io/4wsg3/overview,meta-analysis
1204,2021,"Kerwer, Martin; Rosman, Tom; Wedderhoff, Oliver; Chasiotis, Anita",10.1111/bjep.12372,Disentangling the process of epistemic change: The role of epistemic volition,British Journal of Educational Psychology,moin,yes,,yes,rr,https://osf.io/n6wfk/overview,
